timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
1000,100.01,100.0,100.02,212,579,120,120,100.0:212|99.99:425,100.02:579|100.03:414
2000,99.99,99.98,100.0,252,546,359,239,99.98:252|99.97:756,100.0:546|100.01:579
3000,99.97,99.96,99.98,416,216,416,57,99.96:416|99.95:347,99.98:216|99.99:411
4000,99.95,99.94,99.96,508,213,609,193,99.94:508|99.93:401,99.96:213|99.97:666
5000,99.96,99.95,99.97,479,414,715,106,99.95:479|99.94:529,99.97:414|99.98:601
6000,99.95,99.94,99.96,203,588,971,256,99.94:203|99.93:381,99.96:588|99.97:657
7000,99.95,99.94,99.96,342,279,1076,105,99.94:342|99.93:790,99.96:279|99.97:690
8000,99.94,99.93,99.95,247,394,1150,74,99.93:247|99.92:483,99.95:394|99.96:733
9000,99.93,99.92,99.94,335,222,1386,236,99.92:335|99.91:535,99.94:222|99.95:574
10000,99.91,99.9,99.92,393,240,1577,191,99.9:393|99.89:450,99.92:240|99.93:724
11000,99.92,99.91,99.93,385,495,1676,99,99.91:385|99.9:660,99.93:495|99.94:335
12000,99.89,99.88,99.9,316,595,1800,124,99.88:316|99.87:340,99.9:595|99.91:737
13000,99.87,99.86,99.88,251,394,1921,121,99.86:251|99.85:532,99.88:394|99.89:625
14000,99.89,99.88,99.9,283,389,2061,140,99.88:283|99.87:407,99.9:389|99.91:643
15000,99.88,99.87,99.89,549,531,2129,68,99.87:549|99.86:611,99.89:531|99.9:625
