timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
60000,120.11,120.08,120.14,530,440,719,719,120.08:530|120.07:803,120.14:440|120.15:540
120000,119.99,119.96,120.02,403,228,1457,738,119.96:403|119.95:566,120.02:228|120.03:495
180000,119.97,119.94,120.0,470,366,1963,506,119.94:470|119.93:580,120.0:366|120.01:542
240000,120.02,119.99,120.05,586,529,2798,835,119.99:586|119.98:685,120.05:529|120.06:801
300000,119.98,119.95,120.01,443,265,3533,735,119.95:443|119.94:612,120.01:265|120.02:505
360000,120.07,120.04,120.1,562,536,3870,337,120.04:562|120.03:745,120.1:536|120.11:649
420000,120.17,120.14,120.2,428,441,5064,1194,120.14:428|120.13:698,120.2:441|120.21:617
480000,120.08,120.05,120.11,223,290,6254,1190,120.05:223|120.04:433,120.11:290|120.12:537
540000,119.92,119.89,119.95,394,333,6565,311,119.89:394|119.88:489,119.95:333|119.96:437
600000,120.09,120.06,120.12,263,383,6995,430,120.06:263|120.05:537,120.12:383|120.13:489
660000,120.17,120.14,120.2,534,301,7741,746,120.14:534|120.13:644,120.2:301|120.21:429
720000,120.33,120.3,120.36,379,298,8346,605,120.3:379|120.29:503,120.36:298|120.37:434
780000,120.48,120.45,120.51,592,324,9003,657,120.45:592|120.44:838,120.51:324|120.52:388
840000,120.53,120.5,120.56,396,400,9836,833,120.5:396|120.49:641,120.56:400|120.57:596
900000,120.47,120.44,120.5,409,280,10382,546,120.44:409|120.43:601,120.5:280|120.51:554
960000,120.41,120.38,120.44,376,256,10884,502,120.38:376|120.37:576,120.44:256|120.45:389
1020000,120.22,120.19,120.25,540,458,11583,699,120.19:540|120.18:735,120.25:458|120.26:758
1080000,120.15,120.12,120.18,347,577,12055,472,120.12:347|120.11:461,120.18:577|120.19:848
1140000,120.19,120.16,120.22,455,564,12664,609,120.16:455|120.15:672,120.22:564|120.23:780
1200000,120.37,120.34,120.4,265,486,13153,489,120.34:265|120.33:485,120.4:486|120.41:678
1260000,120.36,120.33,120.39,425,227,14351,1198,120.33:425|120.32:478,120.39:227|120.4:321
