timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
60000,250.0,249.99,250.01,999,1352,873,873,249.99:999|249.98:1140,250.01:1352|250.02:1521
120000,249.97,249.96,249.98,1315,1019,1581,708,249.96:1315|249.95:1421,249.98:1019|249.99:1303
180000,249.96,249.95,249.97,1017,1136,2478,897,249.95:1017|249.94:1179,249.97:1136|249.98:1204
240000,249.95,249.94,249.96,964,890,3105,627,249.94:964|249.93:1211,249.96:890|249.97:1077
300000,249.94,249.93,249.95,1283,1133,3627,522,249.93:1283|249.92:1496,249.95:1133|249.96:1385
360000,249.93,249.92,249.94,1013,864,4247,620,249.92:1013|249.91:1182,249.94:864|249.95:991
420000,249.91,249.9,249.92,1467,1439,4995,748,249.9:1467|249.89:1601,249.92:1439|249.93:1659
480000,249.93,249.92,249.94,1073,1204,5795,800,249.92:1073|249.91:1220,249.94:1204|249.95:1312
540000,249.93,249.92,249.94,1214,1484,6409,614,249.92:1214|249.91:1265,249.94:1484|249.95:1757
600000,249.93,249.92,249.94,1347,896,6985,576,249.92:1347|249.91:1600,249.94:896|249.95:951
660000,249.92,249.91,249.93,1168,809,7519,534,249.91:1168|249.9:1362,249.93:809|249.94:1068
720000,249.9,249.89,249.91,835,1242,8011,492,249.89:835|249.88:956,249.91:1242|249.92:1308
780000,249.92,249.91,249.93,1214,1171,8869,858,249.91:1214|249.9:1431,249.93:1171|249.94:1366
840000,249.92,249.91,249.93,1310,1322,9428,559,249.91:1310|249.9:1582,249.93:1322|249.94:1594
900000,249.9,249.89,249.91,1343,1499,10274,846,249.89:1343|249.88:1394,249.91:1499|249.92:1793
960000,249.88,249.87,249.89,832,1389,10851,577,249.87:832|249.86:1018,249.89:1389|249.9:1681
1020000,249.89,249.88,249.9,1252,921,11597,746,249.88:1252|249.87:1482,249.9:921|249.91:1127
1080000,249.91,249.9,249.92,1271,1452,12068,471,249.9:1271|249.89:1496,249.92:1452|249.93:1547
1140000,249.94,249.93,249.95,1005,1360,12696,628,249.93:1005|249.92:1304,249.95:1360|249.96:1637
1200000,249.97,249.96,249.98,883,953,13548,852,249.96:883|249.95:1012,249.98:953|249.99:1089
1260000,249.96,249.95,249.97,861,1361,14229,681,249.95:861|249.94:1087,249.97:1361|249.98:1500
1320000,249.96,249.95,249.97,997,1085,14976,747,249.95:997|249.94:1258,249.97:1085|249.98:1218
1380000,249.94,249.93,249.95,957,1056,15614,638,249.93:957|249.92:1059,249.95:1056|249.96:1214
1440000,249.92,249.91,249.93,1126,1050,16062,448,249.91:1126|249.9:1247,249.93:1050|249.94:1267
1500000,249.95,249.94,249.96,980,812,16469,407,249.94:980|249.93:1192,249.96:812|249.97:963
1560000,249.97,249.96,249.98,1269,1471,17160,691,249.96:1269|249.95:1330,249.98:1471|249.99:1726
1620000,249.96,249.95,249.97,1079,1282,17898,738,249.95:1079|249.94:1179,249.97:1282|249.98:1473
1680000,249.97,249.96,249.98,1122,1142,18307,409,249.96:1122|249.95:1411,249.98:1142|249.99:1226
1740000,249.96,249.95,249.97,1495,1173,19164,857,249.95:1495|249.94:1648,249.97:1173|249.98:1325
1800000,249.97,249.96,249.98,1025,1328,19597,433,249.96:1025|249.95:1130,249.98:1328|249.99:1415
1860000,249.98,249.97,249.99,949,1150,20059,462,249.97:949|249.96:1093,249.99:1150|250.0:1206
1920000,249.98,249.97,249.99,1481,1007,20805,746,249.97:1481|249.96:1702,249.99:1007|250.0:1232
1980000,250.0,249.99,250.01,1325,1478,21525,720,249.99:1325|249.98:1515,250.01:1478|250.02:1581
2040000,249.98,249.97,249.99,1358,1369,22087,562,249.97:1358|249.96:1484,249.99:1369|250.0:1592
