timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
60000,99.93,99.92,99.95,832,553,537,537,99.92:832|99.91:968,99.95:553|99.96:782
120000,99.93,99.92,99.95,673,807,1333,796,99.92:673|99.91:888,99.95:807|99.96:946
180000,99.85,99.84,99.87,891,819,1997,664,99.84:891|99.83:1092,99.87:819|99.88:1006
240000,99.9,99.89,99.92,450,782,2588,591,99.89:450|99.88:747,99.92:782|99.93:973
300000,100.0,99.99,100.02,527,462,2858,270,99.99:527|99.98:652,100.02:462|100.03:583
360000,99.93,99.92,99.95,462,790,3549,691,99.92:462|99.91:709,99.95:790|99.96:1067
420000,100.04,100.03,100.06,838,669,4076,527,100.03:838|100.02:1073,100.06:669|100.07:908
480000,99.94,99.93,99.96,553,807,4624,548,99.93:553|99.92:813,99.96:807|99.97:1077
540000,99.91,99.9,99.93,526,587,5063,439,99.9:526|99.89:717,99.93:587|99.94:655
600000,99.9,99.89,99.92,862,811,5751,688,99.89:862|99.88:1015,99.92:811|99.93:956
660000,99.87,99.86,99.89,480,487,6324,573,99.86:480|99.85:637,99.89:487|99.9:766
720000,99.98,99.97,100.0,405,667,6919,595,99.97:405|99.96:613,100.0:667|100.01:789
780000,100.01,100.0,100.03,435,568,7571,652,100.0:435|99.99:695,100.03:568|100.04:864
840000,100.02,100.01,100.04,691,457,8350,779,100.01:691|100.0:855,100.04:457|100.05:528
900000,100.04,100.03,100.06,599,573,8856,506,100.03:599|100.02:772,100.06:573|100.07:861
960000,99.98,99.97,100.0,672,471,9616,760,99.97:672|99.96:852,100.0:471|100.01:720
1020000,100.01,100.0,100.03,758,533,10404,788,100.0:758|99.99:905,100.03:533|100.04:584
1080000,100.07,100.06,100.09,492,571,10941,537,100.06:492|100.05:749,100.09:571|100.1:835
1140000,99.96,99.95,99.98,448,770,11700,759,99.95:448|99.94:516,99.98:770|99.99:936
1200000,99.96,99.95,99.98,462,891,12351,651,99.95:462|99.94:556,99.98:891|99.99:1118
1260000,99.89,99.88,99.91,868,844,13130,779,99.88:868|99.87:985,99.91:844|99.92:908
1320000,99.96,99.95,99.98,569,400,13890,760,99.95:569|99.94:758,99.98:400|99.99:483
1380000,99.88,99.87,99.9,855,832,14151,261,99.87:855|99.86:1141,99.9:832|99.91:1003
1440000,99.9,99.89,99.92,728,677,14785,634,99.89:728|99.88:794,99.92:677|99.93:914
1500000,99.93,99.92,99.95,497,862,15155,370,99.92:497|99.91:707,99.95:862|99.96:959
1560000,99.87,99.86,99.89,598,678,15743,588,99.86:598|99.85:685,99.89:678|99.9:886
1620000,99.91,99.9,99.93,736,429,16177,434,99.9:736|99.89:924,99.93:429|99.94:580
1680000,99.92,99.91,99.94,413,421,16902,725,99.91:413|99.9:665,99.94:421|99.95:473
1740000,100.02,100.01,100.04,801,663,17688,786,100.01:801|100.0:951,100.04:663|100.05:792
1800000,100.09,100.08,100.11,582,606,18484,796,100.08:582|100.07:868,100.11:606|100.12:674
1860000,100.17,100.16,100.19,451,483,19084,600,100.16:451|100.15:736,100.19:483|100.2:753
1920000,100.22,100.21,100.24,777,652,19672,588,100.21:777|100.2:864,100.24:652|100.25:779
1980000,100.17,100.16,100.19,556,605,19946,274,100.16:556|100.15:777,100.19:605|100.2:880
2040000,100.07,100.06,100.09,747,523,20288,342,100.06:747|100.05:991,100.09:523|100.1:710
2100000,100.15,100.14,100.17,738,517,20999,711,100.14:738|100.13:841,100.17:517|100.18:629
2160000,100.07,100.06,100.09,672,855,21535,536,100.06:672|100.05:750,100.09:855|100.1:1137
2220000,100.07,100.06,100.09,868,561,22310,775,100.06:868|100.05:984,100.09:561|100.1:676
2280000,100.08,100.07,100.1,436,842,22630,320,100.07:436|100.06:706,100.1:842|100.11:894
2340000,100.0,99.99,100.02,599,680,23323,693,99.99:599|99.98:774,100.02:680|100.03:978
2400000,99.93,99.92,99.95,822,895,24085,762,99.92:822|99.91:1008,99.95:895|99.96:1129
2460000,99.96,99.95,99.98,728,528,24686,601,99.95:728|99.94:953,99.98:528|99.99:604
2520000,99.88,99.87,99.9,835,639,25201,515,99.87:835|99.86:947,99.9:639|99.91:772
2580000,99.85,99.84,99.87,445,817,25688,487,99.84:445|99.83:712,99.87:817|99.88:986
2640000,99.87,99.86,99.89,622,516,26201,513,99.86:622|99.85:762,99.89:516|99.9:644
2700000,99.98,99.97,100.0,532,890,26517,316,99.97:532|99.96:816,100.0:890|100.01:1146
2760000,100.02,100.01,100.04,822,572,27146,629,100.01:822|100.0:1053,100.04:572|100.05:677
2820000,99.96,99.95,99.98,714,811,27906,760,99.95:714|99.94:911,99.98:811|99.99:898
2880000,100.01,100.0,100.03,693,815,28333,427,100.0:693|99.99:918,100.03:815|100.04:942
2940000,100.08,100.07,100.1,578,520,28587,254,100.07:578|100.06:852,100.1:520|100.11:757
3000000,100.06,100.05,100.08,785,499,29324,737,100.05:785|100.04:989,100.08:499|100.09:632
3060000,100.0,99.99,100.02,593,862,30015,691,99.99:593|99.98:670,100.02:862|100.03:937
3120000,100.02,100.01,100.04,444,531,30737,722,100.01:444|100.0:632,100.04:531|100.05:734
3180000,100.02,100.01,100.04,489,503,31340,603,100.01:489|100.0:634,100.04:503|100.05:724
3240000,100.0,99.99,100.02,541,604,32068,728,99.99:541|99.98:786,100.02:604|100.03:732
3300000,100.01,100.0,100.03,401,452,32785,717,100.0:401|99.99:491,100.03:452|100.04:537
3360000,99.98,99.97,100.0,739,535,33251,466,99.97:739|99.96:840,100.0:535|100.01:615
3420000,99.94,99.93,99.96,900,890,33612,361,99.93:900|99.92:965,99.96:890|99.97:1014
3480000,99.94,99.93,99.96,771,626,34339,727,99.93:771|99.92:880,99.96:626|99.97:750
