timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
60000,79.98,79.97,79.99,507,756,201,201,79.97:507|79.96:689,79.99:756|80.0:829
120000,80.01,80.0,80.02,348,470,469,268,80.0:348|79.99:499,80.02:470|80.03:766
180000,79.99,79.98,80.0,751,635,1010,541,79.98:751|79.97:1016,80.0:635|80.01:807
240000,79.97,79.96,79.98,303,391,1547,537,79.96:303|79.95:502,79.98:391|79.99:632
300000,80.0,79.99,80.01,397,372,2216,669,79.99:397|79.98:576,80.01:372|80.02:609
360000,79.99,79.98,80.0,509,681,2552,336,79.98:509|79.97:701,80.0:681|80.01:742
420000,79.99,79.98,80.0,778,717,3208,656,79.98:778|79.97:967,80.0:717|80.01:918
480000,79.98,79.97,79.99,326,439,3456,248,79.97:326|79.96:484,79.99:439|80.0:601
540000,80.02,80.01,80.03,608,383,3936,480,80.01:608|80.0:878,80.03:383|80.04:650
600000,80.03,80.02,80.04,559,699,4245,309,80.02:559|80.01:821,80.04:699|80.05:928
660000,80.03,80.02,80.04,674,567,4609,364,80.02:674|80.01:813,80.04:567|80.05:786
720000,80.08,80.07,80.09,651,400,5023,414,80.07:651|80.06:907,80.09:400|80.1:504
780000,80.09,80.08,80.1,523,432,5352,329,80.08:523|80.07:702,80.1:432|80.11:560
840000,80.08,80.07,80.09,321,373,5733,381,80.07:321|80.06:389,80.09:373|80.1:540
900000,80.13,80.12,80.14,547,522,5991,258,80.12:547|80.11:623,80.14:522|80.15:703
960000,80.13,80.12,80.14,600,705,6644,653,80.12:600|80.11:877,80.14:705|80.15:765
1020000,80.18,80.17,80.19,645,439,7126,482,80.17:645|80.16:770,80.19:439|80.2:634
1080000,80.19,80.18,80.2,633,780,7428,302,80.18:633|80.17:802,80.2:780|80.21:834
1140000,80.22,80.21,80.23,395,592,7671,243,80.21:395|80.2:603,80.23:592|80.24:783
1200000,80.2,80.19,80.21,434,519,7920,249,80.19:434|80.18:548,80.21:519|80.22:599
1260000,80.21,80.2,80.22,364,416,8203,283,80.2:364|80.19:519,80.22:416|80.23:664
1320000,80.24,80.23,80.25,428,796,8644,441,80.23:428|80.22:650,80.25:796|80.26:899
1380000,80.25,80.24,80.26,334,349,8890,246,80.24:334|80.23:418,80.26:349|80.27:578
1440000,80.26,80.25,80.27,689,570,9495,605,80.25:689|80.24:948,80.27:570|80.28:858
1500000,80.28,80.27,80.29,705,356,9928,433,80.27:705|80.26:886,80.29:356|80.3:436
1560000,80.31,80.3,80.32,538,650,10475,547,80.3:538|80.29:759,80.32:650|80.33:820
1620000,80.32,80.31,80.33,755,767,11117,642,80.31:755|80.3:904,80.33:767|80.34:870
1680000,80.34,80.33,80.35,547,516,11816,699,80.33:547|80.32:827,80.35:516|80.36:800
1740000,80.34,80.33,80.35,341,528,12203,387,80.33:341|80.32:485,80.35:528|80.36:706
1800000,80.32,80.31,80.33,516,726,12706,503,80.31:516|80.3:802,80.33:726|80.34:868
1860000,80.36,80.35,80.37,318,376,13205,499,80.35:318|80.34:599,80.37:376|80.38:437
1920000,80.39,80.38,80.4,307,396,13561,356,80.38:307|80.37:597,80.4:396|80.41:627
1980000,80.41,80.4,80.42,758,599,13765,204,80.4:758|80.39:827,80.42:599|80.43:876
2040000,80.43,80.42,80.44,317,752,14037,272,80.42:317|80.41:368,80.44:752|80.45:865
2100000,80.41,80.4,80.42,422,471,14255,218,80.4:422|80.39:503,80.42:471|80.43:681
2160000,80.42,80.41,80.43,672,552,14580,325,80.41:672|80.4:723,80.43:552|80.44:804
2220000,80.45,80.44,80.46,694,554,15153,573,80.44:694|80.43:747,80.46:554|80.47:721
2280000,80.48,80.47,80.49,415,765,15817,664,80.47:415|80.46:583,80.49:765|80.5:1022
2340000,80.5,80.49,80.51,730,308,16151,334,80.49:730|80.48:816,80.51:308|80.52:501
2400000,80.55,80.54,80.56,547,669,16787,636,80.54:547|80.53:776,80.56:669|80.57:951
2460000,80.59,80.58,80.6,343,648,17212,425,80.58:343|80.57:530,80.6:648|80.61:937
2520000,80.61,80.6,80.62,479,490,17629,417,80.6:479|80.59:651,80.62:490|80.63:790
2580000,80.64,80.63,80.65,521,560,18011,382,80.63:521|80.62:675,80.65:560|80.66:619
2640000,80.65,80.64,80.66,528,690,18556,545,80.64:528|80.63:624,80.66:690|80.67:899
2700000,80.65,80.64,80.66,525,712,18918,362,80.64:525|80.63:615,80.66:712|80.67:940
2760000,80.68,80.67,80.69,603,648,19356,438,80.67:603|80.66:694,80.69:648|80.7:897
2820000,80.69,80.68,80.7,372,601,19873,517,80.68:372|80.67:492,80.7:601|80.71:838
2880000,80.67,80.66,80.68,604,346,20185,312,80.66:604|80.65:756,80.68:346|80.69:537
2940000,80.72,80.71,80.73,436,745,20395,210,80.71:436|80.7:525,80.73:745|80.74:918
3000000,80.71,80.7,80.72,611,767,20673,278,80.7:611|80.69:846,80.72:767|80.73:856
3060000,80.69,80.68,80.7,617,548,20938,265,80.68:617|80.67:796,80.7:548|80.71:677
3120000,80.68,80.67,80.69,352,624,21423,485,80.67:352|80.66:540,80.69:624|80.7:718
3180000,80.69,80.68,80.7,626,776,22040,617,80.68:626|80.67:901,80.7:776|80.71:829
3240000,80.74,80.73,80.75,791,646,22448,408,80.73:791|80.72:1090,80.75:646|80.76:749
3300000,80.77,80.76,80.78,459,715,22921,473,80.76:459|80.75:562,80.78:715|80.79:902
3360000,80.75,80.74,80.76,475,548,23471,550,80.74:475|80.73:668,80.76:548|80.77:707
3420000,80.79,80.78,80.8,632,460,23965,494,80.78:632|80.77:757,80.8:460|80.81:732
3480000,80.8,80.79,80.81,581,436,24206,241,80.79:581|80.78:667,80.81:436|80.82:686
3540000,80.82,80.81,80.83,458,625,24813,607,80.81:458|80.8:590,80.83:625|80.84:795
3600000,80.81,80.8,80.82,736,498,25095,282,80.8:736|80.79:951,80.82:498|80.83:650
3660000,80.85,80.84,80.86,651,378,25343,248,80.84:651|80.83:882,80.86:378|80.87:618
3720000,80.88,80.87,80.89,669,690,25732,389,80.87:669|80.86:849,80.89:690|80.9:962
3780000,80.93,80.92,80.94,582,432,26193,461,80.92:582|80.91:658,80.94:432|80.95:727
3840000,80.94,80.93,80.95,467,670,26766,573,80.93:467|80.92:701,80.95:670|80.96:952
3900000,80.99,80.98,81.0,677,648,27099,333,80.98:677|80.97:788,81.0:648|81.01:771
3960000,81.04,81.03,81.05,798,629,27305,206,81.03:798|81.02:1045,81.05:629|81.06:720
4020000,81.09,81.08,81.1,493,402,27928,623,81.08:493|81.07:715,81.1:402|81.11:616
4080000,81.07,81.06,81.08,332,653,28293,365,81.06:332|81.05:473,81.08:653|81.09:713
4140000,81.05,81.04,81.06,522,497,28766,473,81.04:522|81.03:733,81.06:497|81.07:701
4200000,81.03,81.02,81.04,704,637,29147,381,81.02:704|81.01:800,81.04:637|81.05:828
4260000,81.04,81.03,81.05,744,368,29648,501,81.03:744|81.02:887,81.05:368|81.06:612
4320000,81.03,81.02,81.04,794,628,29855,207,81.02:794|81.01:920,81.04:628|81.05:928
4380000,81.01,81.0,81.02,440,463,30289,434,81.0:440|80.99:553,81.02:463|81.03:728
4440000,81.02,81.01,81.03,689,459,30613,324,81.01:689|81.0:985,81.03:459|81.04:552
4500000,81.0,80.99,81.01,584,317,31089,476,80.99:584|80.98:776,81.01:317|81.02:475
4560000,81.04,81.03,81.05,474,489,31604,515,81.03:474|81.02:526,81.05:489|81.06:562
4620000,81.08,81.07,81.09,495,734,31842,238,81.07:495|81.06:700,81.09:734|81.1:881
4680000,81.09,81.08,81.1,459,765,32459,617,81.08:459|81.07:757,81.1:765|81.11:943
4740000,81.07,81.06,81.08,376,688,33054,595,81.06:376|81.05:489,81.08:688|81.09:839
4800000,81.1,81.09,81.11,431,473,33717,663,81.09:431|81.08:577,81.11:473|81.12:754
4860000,81.1,81.09,81.11,744,541,34144,427,81.09:744|81.08:947,81.11:541|81.12:727
4920000,81.08,81.07,81.09,408,459,34396,252,81.07:408|81.06:626,81.09:459|81.1:549
4980000,81.08,81.07,81.09,633,553,34802,406,81.07:633|81.06:827,81.09:553|81.1:836
5040000,81.13,81.12,81.14,465,622,35402,600,81.12:465|81.11:662,81.14:622|81.15:760
5100000,81.12,81.11,81.13,739,401,36034,632,81.11:739|81.1:832,81.13:401|81.14:626
5160000,81.13,81.12,81.14,535,363,36459,425,81.12:535|81.11:617,81.14:363|81.15:626
5220000,81.11,81.1,81.12,503,337,36663,204,81.1:503|81.09:611,81.12:337|81.13:509
5280000,81.13,81.12,81.14,545,348,37020,357,81.12:545|81.11:721,81.14:348|81.15:403
5340000,81.16,81.15,81.17,534,713,37227,207,81.15:534|81.14:767,81.17:713|81.18:881
5400000,81.19,81.18,81.2,587,557,37742,515,81.18:587|81.17:744,81.2:557|81.21:615
