timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume,bid_depth,ask_depth
60000,32.43,32.33,32.53,54,41,82,82,32.33:54|32.32:346,32.53:41|32.54:250
120000,32.39,32.29,32.49,96,80,112,30,32.29:96|32.28:250,32.49:80|32.5:251
180000,32.44,32.34,32.54,41,62,189,77,32.34:41|32.33:230,32.54:62|32.55:309
240000,32.47,32.37,32.57,106,45,249,60,32.37:106|32.36:191,32.57:45|32.58:221
300000,32.44,32.34,32.54,30,109,311,62,32.34:30|32.33:151,32.54:109|32.55:339
360000,32.51,32.41,32.61,59,57,364,53,32.41:59|32.4:147,32.61:57|32.62:147
420000,32.46,32.36,32.56,67,43,405,41,32.36:67|32.35:328,32.56:43|32.57:275
480000,32.49,32.39,32.59,113,62,482,77,32.39:113|32.38:408,32.59:62|32.6:175
540000,32.57,32.47,32.67,32,64,527,45,32.47:32|32.46:289,32.67:64|32.68:290
600000,32.59,32.49,32.69,75,39,600,73,32.49:75|32.48:168,32.69:39|32.7:158
660000,32.67,32.57,32.77,47,45,632,32,32.57:47|32.56:221,32.77:45|32.78:118
720000,32.62,32.52,32.72,78,34,683,51,32.52:78|32.51:370,32.72:34|32.73:231
780000,32.64,32.54,32.74,60,51,773,90,32.54:60|32.53:128,32.74:51|32.75:281
840000,32.63,32.53,32.73,43,71,800,27,32.53:43|32.52:136,32.73:71|32.74:185
900000,32.58,32.48,32.68,117,33,889,89,32.48:117|32.47:385,32.68:33|32.69:214
960000,32.6,32.5,32.7,63,98,902,13,32.5:63|32.49:129,32.7:98|32.71:212
1020000,32.55,32.45,32.65,118,53,960,58,32.45:118|32.44:178,32.65:53|32.66:229
1080000,32.62,32.52,32.72,49,103,993,33,32.52:49|32.51:265,32.72:103|32.73:300
1140000,32.55,32.45,32.65,92,82,1022,29,32.45:92|32.44:196,32.65:82|32.66:264
1200000,32.54,32.44,32.64,74,94,1085,63,32.44:74|32.43:346,32.64:94|32.65:231
1260000,32.47,32.37,32.57,114,89,1148,63,32.37:114|32.36:170,32.57:89|32.58:274
1320000,32.52,32.42,32.62,80,85,1167,19,32.42:80|32.41:181,32.62:85|32.63:252
1380000,32.59,32.49,32.69,50,70,1246,79,32.49:50|32.48:242,32.69:70|32.7:342
1440000,32.59,32.49,32.69,110,40,1288,42,32.49:110|32.48:335,32.69:40|32.7:299
1500000,32.53,32.43,32.63,73,64,1340,52,32.43:73|32.42:289,32.63:64|32.64:356
1560000,32.59,32.49,32.69,60,76,1409,69,32.49:60|32.48:314,32.69:76|32.7:331
1620000,32.55,32.45,32.65,104,62,1447,38,32.45:104|32.44:239,32.65:62|32.66:283
1680000,32.52,32.42,32.62,49,100,1498,51,32.42:49|32.41:164,32.62:100|32.63:250
1740000,32.53,32.43,32.63,33,49,1510,12,32.43:33|32.42:249,32.63:49|32.64:263
1800000,32.57,32.47,32.67,62,113,1554,44,32.47:62|32.46:265,32.67:113|32.68:169
1860000,32.56,32.46,32.66,54,35,1602,48,32.46:54|32.45:145,32.66:35|32.67:316
1920000,32.52,32.42,32.62,96,52,1663,61,32.42:96|32.41:227,32.62:52|32.63:133
1980000,32.47,32.37,32.57,90,113,1708,45,32.37:90|32.36:269,32.57:113|32.58:408
2040000,32.45,32.35,32.55,52,84,1761,53,32.35:52|32.34:242,32.55:84|32.56:181
2100000,32.49,32.39,32.59,84,39,1773,12,32.39:84|32.38:146,32.59:39|32.6:149
2160000,32.49,32.39,32.59,72,120,1831,58,32.39:72|32.38:316,32.59:120|32.6:312
2220000,32.53,32.43,32.63,58,87,1850,19,32.43:58|32.42:226,32.63:87|32.64:216
2280000,32.57,32.47,32.67,47,80,1919,69,32.47:47|32.46:213,32.67:80|32.68:259
2340000,32.63,32.53,32.73,114,48,1995,76,32.53:114|32.52:224,32.73:48|32.74:100
2400000,32.66,32.56,32.76,42,93,2027,32,32.56:42|32.55:121,32.76:93|32.77:382
2460000,32.6,32.5,32.7,77,102,2090,63,32.5:77|32.49:213,32.7:102|32.71:153
2520000,32.67,32.57,32.77,45,64,2158,68,32.57:45|32.56:127,32.77:64|32.78:134
2580000,32.65,32.55,32.75,80,110,2208,50,32.55:80|32.54:137,32.75:110|32.76:291
