side,quantity,size_category,strategy,requested_quantity,filled_quantity,unfilled_quantity,fill_rate,average_execution_price,arrival_price,slippage_bps,implementation_shortfall,total_cost_bps,commission_bps,exchange_fees_bps,spread_cost_bps,completion_time_ms,participation_rate,market_vwap
BUY,500,small,TWAP,500,500,0,1.0000,184.6466,184.7000,-2.89,-26.68,1.14,0.01,0.00,0.01,1704295740000,0.0081,0.0000
BUY,500,small,VWAP,500,500,0,1.0000,184.6466,184.7000,-2.89,-26.68,1.14,0.01,0.00,0.01,1704295740000,0.0081,0.0000
BUY,500,small,POV,500,0,500,0.0000,0.0000,184.7000,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0000,0.0000
BUY,2500,medium,TWAP,2500,2500,0,1.0000,184.6451,184.7000,-2.97,-137.36,1.14,0.01,0.00,0.01,1704295740000,0.0403,0.0000
BUY,2500,medium,VWAP,2500,2500,0,1.0000,184.6451,184.7000,-2.97,-137.36,1.14,0.01,0.00,0.01,1704295740000,0.0403,0.0000
BUY,2500,medium,POV,2500,0,2500,0.0000,0.0000,184.7000,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0000,0.0000
BUY,5000,large,TWAP,5000,4997,3,0.9994,184.6442,184.7000,-3.02,-278.71,1.14,0.01,0.00,0.01,1704295740000,0.0805,0.0000
BUY,5000,large,VWAP,5000,4997,3,0.9994,184.6442,184.7000,-3.02,-278.71,1.14,0.01,0.00,0.01,1704295740000,0.0805,0.0000
BUY,5000,large,POV,5000,0,5000,0.0000,0.0000,184.7000,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0000,0.0000
SELL,500,small,TWAP,500,500,0,1.0000,184.3212,184.7000,20.51,189.40,1.14,0.01,0.00,0.01,1704295740000,0.0081,0.0000
SELL,500,small,VWAP,500,500,0,1.0000,184.3212,184.7000,20.51,189.40,1.14,0.01,0.00,0.01,1704295740000,0.0081,0.0000
SELL,500,small,POV,500,0,500,0.0000,0.0000,184.7000,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0000,0.0000
SELL,2500,medium,TWAP,2500,2500,0,1.0000,184.3120,184.7000,21.01,970.05,1.14,0.01,0.00,0.01,1704295740000,0.0403,0.0000
SELL,2500,medium,VWAP,2500,2500,0,1.0000,184.3120,184.7000,21.01,970.05,1.14,0.01,0.00,0.01,1704295740000,0.0403,0.0000
SELL,2500,medium,POV,2500,0,2500,0.0000,0.0000,184.7000,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0000,0.0000
SELL,5000,large,TWAP,5000,5000,0,1.0000,184.3074,184.7000,21.26,1963.15,1.14,0.01,0.00,0.01,1704295740000,0.0805,0.0000
SELL,5000,large,VWAP,5000,5000,0,1.0000,184.3074,184.7000,21.26,1963.15,1.14,0.01,0.00,0.01,1704295740000,0.0805,0.0000
SELL,5000,large,POV,5000,0,5000,0.0000,0.0000,184.7000,0.00,0.00,0.00,0.00,0.00,0.00,0,0.0000,0.0000
